纯挚,纯真
出人意料,出乎意料
还俗,出家
归还,出借
入境,出境
入口,出口
进去,出来
鹤立鸡群,出类拔萃
出售,出卖
出乎意料,出其不意
缺勤,出勤
进来,出去
高人一等,出人头地
出其不意,出人意料
逊色,出色
入迷,出神
赴汤蹈火,出生入死
班师,出师
退隐,出仕
出卖,出售
抛头露面,出头露面
列席,出席
进项,出项
温文尔雅,出言不逊
始,初
仗势欺人,除暴安良
元旦,除夕
贮藏,储藏
贮存,储存
挖空心思,处心积虑
泰然自若,处之泰然
冒犯,触犯
举一反三,触类旁通
惊心动魄,触目惊心
推测,揣测
揣测,揣摩
络绎不绝,川流不息
脱,穿
交叉,穿插
穿越,穿梭
牵强附会,穿凿附会
衣着,穿着
传送,传递
污染,传染
教授,传授
谬误,舛误
兴办,创办
伤痕,创痕
守业,创业
隐恶扬善,吹毛求疵
困兽犹斗,垂死挣扎
无精打采,垂头丧气
垂涎欲滴,垂涎三尺
秋,春
愁眉苦脸,春风得意
愁眉苦脸,春风满面
秋色,春色
杂,纯
质朴,纯朴
熟练,纯熟
不共戴天,唇齿相依
针锋相对,唇枪舌剑
笨,蠢
天才,蠢才
跃跃欲试,蠢蠢欲动
拆穿,戳穿
停学,辍学
慈善,慈悲
慈悲,慈善
慈善,慈祥
谢世,辞世
解雇,辞退
就职,辞职
雄,雌
彼,此
彼岸,此岸
尔后,此后
主,次
次第,次序
逆耳,刺耳
扎眼,刺眼
自,从
历来,从来
过去,从前
慢条斯理,从容不迫
贪生怕死,从容就义
突如其来,从天而降
自始至终,从头至尾
重新,从新
渐渐,匆匆
葱翠,葱茏
翠绿,葱绿
对付,凑合
靠近,凑近
恰巧,凑巧
细,粗
粗犷,粗暴
细布,粗布
家常便饭,粗茶淡饭
集约,粗放
粗犷,粗豪
细活,粗活
细粮,粗粮
精通,粗通
大意,粗心
粗枝大叶,粗心大意
粗心大意,粗枝大叶
精雕细刻,粗制滥造
细弱,粗壮
崭新,簇新
敦促,催促
势如破竹,摧枯拉朽
坚,脆
亡,存
放款,存款
取出,存入
具有,存在
步履维艰,寸步难行
拆散,撮合
矮,矬
对,错
参差,错落
过失,错误
扑朔迷离,错综复杂
拆,搭
伙伴,搭档
散伙,搭伙
陷害,搭救
理睬,搭理
悲观,达观
问,答
挨,打
仗义执言,打抱不平
风吹草动,打草惊蛇
孤芳自赏,打成一片
搭救,打救
翻开,打开
突破,打破
捉弄,打趣
打搅,打扰
打搅,打扰
清扫,打扫
刺探,打探
小,大
步履维艰,大步流星
自吹自擂,大吹大擂
束手无策,大刀阔斧
小道,大道
大致,大抵
怒不可遏,大发雷霆
微风,大风
大约,大概
铁面无私,大公无私
半途而废,大功告成
易如反掌,大海捞针
自己,大家
小家庭,大家庭
小巷,大街
街头巷尾,大街小巷
小节,大节
心惊胆战,大惊失色
少见多怪,大惊小怪
皆大欢喜,大快人心
少量,大量
海洋,大陆
大概,大略
学名,大名
默默无闻,大名鼎鼎
大摇大摆,大模大样
离经叛道,大逆不道
小年,大年
少量,大批
小孩儿,大人
小人物,大人物
事与愿违,大失所望
小事,大事
小题大作,大题小作
大致,大体
众目睽睽,大庭广众
迥然不同,大同小异
小头,大头
大失所望,大喜过望
小戏,大戏
大显神通,大显身手
大显身手,大显神通
大街,大巷
夸夸其谈,大言不惭
大模大样,大摇大摆
卑躬屈膝,大义凛然
粗心,大意
偃旗息鼓,大张旗鼓
群众,大众
板滞,呆板
天真烂漫,呆头呆脑
好,歹
恶意,歹意
领路,带路
就业,待业
存款,贷款
捕,逮
摘,戴
双,单
开门见山,单刀直入
枯燥,单调
独自,单独
双方,单方
合作,单干
双数,单数
繁多,单一
承当,担当
煞费苦心,殚精竭虑
胆小,胆大
小心翼翼,胆大妄为
提心吊胆,胆战心惊
夕,旦
凡是,但凡
粉墨登场,弹冠相庆
浓,淡
恬淡,淡泊
旺季,淡季
漠然,淡然
海水,淡水
该,当
现在,当初
外地,当地
犹豫不决,当机立断
背后,当面
以后,当前
事先,当时
燃眉之急,当务之急
领先,当先
中选,当选
清洗,荡涤
层次,档次
龙潭虎穴,刀山火海
招致,导致
正,倒
开张,倒闭
倒运,倒霉
垮台,倒台
发展,倒退
摧毁,捣毁
祈祷,祷告
四处,到处
抵达,到达
就任,到任
离职,到职
匪,盗
讲,道
路途,道路
一本正经,道貌岸然
失,得
得失相当,得不偿失
未遂,得逞
失宠,得宠
得陇望蜀,得寸进尺
失掉,得到
苟且偷生,得过且过
无暇,得空
失利,得胜
得不偿失,得失相当
失势,得势
得知,得悉
自得,得意
得意洋洋,得意忘形
得意忘形,得意洋洋
失意,得志
怨,德
纸醉金迷,灯红酒绿
退场,登场
无以复加,登峰造极
注销,登记
顿时,登时
刊登,登载
相提并论,等量齐观
等外,等内
同等,等同
不屑一顾,等闲视之
矮,低
高潮,低潮
高扬,低垂
高攀,低就
高空,低空
昂贵,低廉
高涨,低落
高人一等,低三下四
低三下四,低声下气
抬头,低头
高温,低温
高压,低压
高音,低音
友,敌
朋友,敌人
扫荡,涤荡
庶,嫡
顶,底
赔偿,抵偿
冲突,抵触
承认,抵赖
天,地
天文,地理
天时,地利
空中,地面
天堂,地狱
兄,弟
递减,递加
递加,递减
递减,递增
颠倒是非,颠倒黑白
颠倒黑白,颠倒是非
流离失所,颠沛流离
牢不可破,颠扑不破
井然有序,颠三倒四
仪式,典礼
面,点
扑灭,点燃
摇头,点头
开放,凋谢
雕琢,雕刻
谐和,调和
互换,调换
调理,调节
分配,调配
会演,调演
漫不经心,掉以轻心
涨,跌
涨价,跌价
三言两语,喋喋不休
底,顶
迎风,顶风
高峰,顶峰
大力,鼎力
昌盛,鼎盛
修订,订正
订,定
活期,定期
拾,丢
落花流水,丢盔弃甲
西,东
西南,东北
井井有条,东倒西歪
西方,东方
西风,东风
西北,东南
西洋,东洋
左顾右盼,东张西望
夏,冬
夏季,冬季
静,动
开工,动工
动态,动静
骚动,动乱
息怒,动怒
扣人心弦,动人心魄
入手,动手
静态,动态
入耳,动听
植物,动物
意向,动向
坚定,动摇
解冻,冻结
管窥蠡测,洞若观火
皆,都
颤动,抖动
振作,抖擞
逗弄,逗引
催促,督促
香花,毒草
尽职,渎职
合唱,独唱
一意孤行,独断独行
阳关道,独木桥
单身,独身
标新立异,独树一帜
共同,独特
无独有偶,独一无二
单独,独自
合奏,独奏
梗塞,堵塞
见,睹
根绝,杜绝
光阴似箭,度日如年
欠,短
急促,短促
长工,短工
长寿,短命
长跑,短跑
长途,短途
续,断
判定,断定
绝交,断交
对于,对
比照,对比
凑合,对付
抵消,对消
关于,对于
比照,对照
有的放矢,对症下药
矮壮,敦实
奇货可居,囤积居奇
矛,盾
快,钝
登时,顿时
逃,遁
托辞,遁辞
少,多
屡次,多次
几,多少
少数,多数
盛气凌人,咄咄逼人
予,夺
避,躲
规避,躲避
额外,额定
额定,额外
简明,扼要
好,恶
反感,恶感
罪不容诛,恶贯满盈
好转,恶化
美名,恶名
善人,恶人
歹意,恶意
饥,饿
抑止,遏止
凶讯,噩耗
仇,恩
恩德,恩惠
以怨报德,恩将仇报
仇人,恩人
女,儿
然后,而后
我,尔
此后,尔后
钩心斗角,尔虞我诈
耳背,耳尖
潜移默化,耳濡目染
遐,迩
两,二
一心,二心
收,发
忧愁,发愁
收回,发出
发愣,发呆
发起,发动
卧薪尝胆,发愤图强
颐指气使,发号施令
发扬,发挥
觉察,发觉
开掘,发掘
发呆,发愣
振聋发聩,发人深省
发作,发生
出售,发售
提问,发问
发觉,发现
发源,发祥
开展,发展
累,乏
有趣,乏味
奖,罚
法则,法令
规律,法则
昭雪,翻案
排山倒海,翻江倒海
打开,翻开
回心转意,翻然悔悟
天翻地覆,翻天覆地
创新,翻新
凡是,凡
但凡,凡是
干扰,烦扰
简,繁
单一,繁多
简易,繁难
昌盛,繁荣
烦琐,繁缛
烦琐,繁琐
冗杂,繁杂
繁衍,繁殖
正,反
正比,反比
革命,反动
翻云覆雨,反复无常
恶感,反感
反问,反诘
背面,反面
往,返
出航,返航
前往,返回
老态龙钟,返老还童
立功,犯罪
众多,泛滥
圆,方
便当,方便
刚才,方才
蒸蒸日上,方兴未艾
攻,防
未雨绸缪,防患未然
防卫,防守
进攻,防御
避免,防止
阻碍,妨碍
似乎,仿佛
搁,放
缩小,放大
养虎遗患,放虎归山
存款,放款
加快,放慢
听任,放任
任其自然,放任自流
抓紧,放松
纵容,放纵
自取灭亡,飞蛾扑火
青云直上,飞黄腾达
走兽,飞禽
飞扬,飞腾
是,非
十分,非常
责难,非难
息息相关,非亲非故
绵薄,菲薄
胖,肥
瘦削,肥胖
肥美,肥沃
瘦弱,肥壮
盗,匪
强盗,匪徒
兴,废
言之无物,废话连篇
成品,废品
夜以继日,废寝忘食
宝物,废物
省,费
隐晦,费解
费力,费劲
省事,费事
省心,费心
合,分
土崩瓦解,分崩离析
区分,分辨
分红,分成
各奔前程,分道扬镳
合作,分工
合成,分解
合并,分开
别离,分离
重量,分量
团结,分裂
分外,分内
一致,分歧
别离,分手
平起平坐,分庭抗礼
格外,分外
专心,分心
络绎不绝,纷至沓来
燃,焚
燃烧,焚烧
肝脑涂地,粉身碎骨
贪生怕死,奋不顾身
自暴自弃,奋发图强
踌躇不前,奋起直追
一马当先,奋勇当先
平心静气,愤愤不平
气愤,愤慨
愤恨,愤怒
歉,丰
歉收,丰收
饥寒交迫,丰衣足食
风云,风波
栉风沐雨,风餐露宿
迅雷不及掩耳,风驰电掣
风高浪急,风号浪吼
惊涛骇浪,风平浪静
习尚,风气
草木皆兵,风声鹤唳
习俗,风俗
景物,风物
风靡一时,风行一时
流言蜚语,风言风语
摇摇欲坠,风雨飘摇
同舟共济,风雨同舟
启,封
烽烟,烽火
矛头,锋芒
崭露头角,锋芒毕露
遇,逢
绝处逢生,逢凶化吉
补缀,缝补
百里挑一,凤毛麟角
违,奉
营私,奉公
安分守己,奉公守法
归还,奉还
规劝,奉劝
贡献,奉献
可,否
承认,否认
妇,夫
对付,敷衍
敷衍塞责,敷衍了事
起,伏
青云直上,扶摇直上
黎明,拂晓
听从,服从
伺候,服侍
效劳,服务
退役,服役
沉,浮
走马观花,浮光掠影
质朴,浮华
契合,符合
版图,幅员
祸,福
福气,福分
指正,斧正
仰,俯
爬升,俯冲
仰望,俯视
昂首,俯首
唯命是从,俯首贴耳
桀骜不驯,俯首听命
辅佐,辅助
女,父
一笑置之,付之一笑
夫,妇
家喻户晓,妇孺皆知
背,负
反面,负面
正数,负数
垂死挣扎,负隅顽抗
单,复
来电,复电
停工,复工
断交,复交
复古,复旧
停刊,复刊
停课,复课
单数,复数
单线,复线
休学,复学
恢复,复原
出生入死,赴汤蹈火
正,副
正本,副本
正册,副册
正品,副品
反作用,副作用
穷,富
贫贱,富贵
贫矿,富矿
贫弱,富强
丰饶,富饶
穷人,富人
背,腹
四面楚歌,腹背受敌
毁灭,覆灭
当,该
痛改前非,改过自新
面目一新,改头换面
弃暗投明,改邪归正
改组,改选
掀,盖
概略,概况
做,干
群众,干部
庸才,干才
痛快,干脆
枯槁,干枯
支流,干流
搅扰,干扰
支线,干线
枯燥,干燥
苦,甘
心悦诚服,甘拜下风
披肝沥胆,肝胆相照
粉身碎骨,肝脑涂地
赶忙,赶紧
斩草除根,赶尽杀绝
赶紧,赶快
勇于,敢于
畏首畏尾,敢作敢为
感受,感触
忘恩负义,感恩戴德
感念,感怀
慨叹,感慨
感受,感想
理性,感性
感化,感召
刚刚,刚
我行我素,刚愎自用
方才,刚才
阿谀奉承,刚正不阿
目,纲
大纲,纲要
下,高
低潮,高潮
矮小,高大
初等,高等
洼地,高地
顶峰,高峰
低价,高价
拙见,高见
地面,高空
宾客盈门,高朋满座
平地,高山
一目了然,高深莫测
昂首阔步,高视阔步
夸夸其谈,高谈阔论
低温,高温
低垂,高扬
低音,高音
鼠目寸光,高瞻远瞩
低落,高涨
万事大吉,高枕无忧
辞别,告别
劝诫,告诫
通知,告诉
放,搁
树碑立传,歌功颂德
推陈出新,革故鼎新
反动,革命
水乳交融,格格不入
分外,格外
袖手旁观,隔岸观火
隔膜,隔阂
隔阂,隔膜
对症下药,隔靴搔痒
一般,个别
集体,个体
分道扬镳,各奔前程
各抒己见,各持己见
形形色色,各式各样
各持己见,各抒己见
同心同德,各行其是
各有所长,各有千秋
步调一致,各自为政
索取,给予
本源,根源
和,跟
比比皆是,亘古未有
愈加,更加
若无其事,耿耿于怀
堵塞,梗塞
农,工
写意,工笔
工巧,工细
母,公
公允,公道
私德,公德
自费,公费
民愤,公愤
地下,公开
悍然,公然
私事,公事
私心,公心
私有,公有
条约,公约
过,功
大功告成,功败垂成
罪人,功臣
功败垂成,功亏一篑
功用,功能
守势,功势
成效,功效
勋绩,功勋
守,攻
攻击,攻打
打破,攻破
守势,攻势
望风而逃,攻无不克
求,供
招认,供认
同,共
合计,共计
同事,共事
单独,共同
个性,共性
奉献,贡献
逗留,勾留
明争暗斗,钩心斗角
垂死挣扎,狗急跳墙
偷安,苟安
苟且偷生,苟且偷安
形成,构成
买,购
置办,购置
预算,估算
权且,姑且
姑妄言之,姑妄听之
姑妄听之,姑妄言之
顾影自怜,孤芳自赏
同仇敌忾,孤军奋战
鳏寡孤独,孤苦伶仃
孤掌难鸣,孤立无援
博古通今,孤陋寡闻
合群,孤僻
众志成城,孤掌难鸣
破釜沉舟,孤注一掷
孤负,辜负
今,古
板滞,古板
现代,古代
乖僻,古怪
遗迹,古迹
时装,古装
主干,骨干
饱,鼓
泄气,鼓劲
鼓舞,鼓励
流动,固定
铜墙铁壁,固若金汤
猛攻,固守
新,故
墨守成规,故步自封
实事求是,故弄玄虚
故土,故乡
成心,故意
捉襟见肘,顾此失彼
顾忌,顾虑
望文生义,顾名思义
保全,顾全
孤芳自赏,顾影自怜
纠葛,瓜葛
水到渠成,瓜熟蒂落
拭目以待,刮目相待
众,寡
势均力敌,寡不敌众
旁敲侧击,拐弯抹脚
见怪,怪罪
闭,关
封闭,关闭
漠不关心,关怀备至
千里迢迢,关山迢递
打开,关上
牵涉,关涉
开张,关张
观念,观点
民,官
寡,鳏
管束,管教
光芒耀眼,光彩夺目
光临,光顾
斑驳陆离,光怪陆离
润滑,光滑
光芒,光辉
莅临,光临
黑暗,光明
光明正大,光明磊落
光明磊落,光明正大
日月如梭,光阴似箭
狭,广
播送,广播
闭目塞听,广开言路
宽广,广阔
狭义,广义
离队,归队
出借,归还
归结,归纳
法则,规律
珍宝,瑰宝
绮丽,瑰丽
神出鬼没,诡秘莫测
巧夺天工,鬼斧神工
光明正大,鬼头鬼脑
贱,贵
倒背如流,滚瓜烂熟
邦,国
外货,国货
国际,国内
疆土,国土
公营,国营
因,果
果真,果然
功,过
当时,过后
过去,过来
过来,过去
实事求是,过甚其词
昙花一现,过眼云烟
大海捞针,海底捞针
弹丸之地,海阔天空
海外,海内
空中楼阁,海市蜃楼
陆地,海洋
耸人听闻,骇人听闻
利,害
益虫,害虫
坏处,害处
益鸟,害鸟
害臊,害羞
淋漓尽致,酣畅淋漓
熟睡,酣睡
露,含
直截了当,含糊其辞
光明正大,含沙射影
千辛万苦,含辛茹苦
宛转,含蓄
含义,含意
数典忘祖,邯郸学步
信件,函件
修养,涵养
热,寒
热带,寒带
严冬,寒冬
暑假,寒假
光阴似箭,寒来暑往
暖流,寒流
豪门,寒门
暖色,寒色
应酬,寒暄
稀有,罕见
常用,罕用
无地自容,汗颜无地
涝,旱
雨季,旱季
水路,旱路
水灾,旱灾
顾虑重重,悍然不顾
摇,撼
狼狈为奸,沆瀣一气
当机立断,毫不犹豫
畏首畏尾,豪放不羁
俊杰,豪杰
唉声叹气,豪言壮语
声泪俱下,嚎啕大哭
佳,好
好逸恶劳,好吃懒做
益处,好处
反感,好感
脚踏实地,好高鹜远
坏话,好话
猎奇,好奇
坏人,好人
坏事,好事
一帆风顺,好事多磨
难受,好受
仿佛,好像
好意,好心
好吃懒做,好逸恶劳
恶意,好意
恶化,好转
浩荡,浩大
浩大,浩瀚
汹涌澎湃,浩浩荡荡
不计其数,浩如烟海
呵责,呵斥
开,合
独唱,合唱
分解,合成
符合,合乎
散伙,合伙
算计,合计
独奏,合奏
协作,合作
战,和
和颜悦色,和蔼可亲
微风,和风
暴风骤雨,和风细雨
弛缓,和缓
不和,和睦
自相残杀,和睦相处
一览无余,和盘托出
和蔼可亲,和颜悦色
同心协力,和衷共济
银河,河汉
核对,核查
中心,核心
大名鼎鼎,赫赫有名
鲜明,赫然
老气横秋,鹤发童颜
出类拔萃,鹤立鸡群
乌,黑
彩色,黑白
混淆是非,黑白分明
亮堂堂,黑糊糊
黑漆漆,黑压压
白昼,黑夜
爱,恨
咬牙切齿,恨之入骨
纵,横
纵队,横队
杂乱无章,横七竖八
苛捐杂税,横征暴敛
惊动,轰动
捧腹大笑,哄堂大笑
开门见山,烘云托月
发扬,弘扬
白,红
苍白,红润
白色,红色
红彤彤,红艳艳
微观,宏观
弘论,宏论
雄图,宏图
激流,洪流
无所事事,鸿鹄之志
指日可待,猴年马月
先,后
后代,后辈
后台,后盾
先发制人,后发制人
前方,后方
潜力,后劲
当时,后来
青出于蓝,后来居上
前面,后面
前期,后期
先人,后人
前任,后任
先手,后手
后裔,后嗣
前进,后退
先行,后行
后嗣,后裔
薄,厚
一视同仁,厚此薄彼
恬不知耻,厚颜无耻
留鸟,候鸟
吸,呼
兴风作浪,呼风唤雨
吼叫,呼啸
生吞活剥,囫囵吞枣
仗势欺人,狐假虎威
沆瀣一气,狐群狗党
犹豫不决,狐疑不决
胡言乱语,胡说八道
异想天开,胡思乱想
胡说八道,胡言乱语
肆无忌惮,胡作非为
浑浑噩噩,糊里糊涂
善始善终,虎头蛇尾
相互,互相
纨绔子弟,花花公子
万紫千红,花团锦簇
甜言蜜语,花言巧语
虚有其表,华而不实
华裔,华侨
实事求是,哗众取宠
涩,滑
转危为安,化险为夷
区分,划分
绘,画
望梅止渴,画饼充饥
画蛇添足,画龙点睛
弄巧成拙,画蛇添足
言外之意,话中有话
脱颖而出,怀才不遇
好,坏
害处,坏处
好人,坏蛋
好话,坏话
好人,坏人
好事,坏事
悲,欢
喝彩,欢呼
鸦雀无声,欢声雷动
欢迎,欢送
切肤之痛,欢天喜地
欢欣,欢喜
欢天喜地,欢欣鼓舞
欢送,欢迎
借,还
讨价,还价
行礼,还礼
出家,还俗
复原,还原
盘绕,环绕
环顾,环视
周游,环游
全球,寰球
慢,缓
紧张,缓和
慢慢,缓缓
同甘共苦,患难与共
面目一新,焕然一新
饲养,豢养
旷费,荒废
荒芜,荒凉
从容不迫,慌慌张张
手忙脚乱,慌手慌脚
南柯一梦,黄粱美梦
惊慌失措,惶恐不安
豁然开朗,恍然大悟
仿佛,恍如
摆,晃
闲逛,晃荡
兴冲冲,灰溜溜
心灰意懒,灰心丧气
复原,恢复
汗流浃背,挥汗如雨
挥金如土,挥霍无度
一掷千金,挥金如土
来,回
报答,回报
来电,回电
上升,回升
耐人寻味,回味无穷
固执己见,回心转意
会聚,汇聚
汇集,会集
集聚,会聚
画,绘
有声有色,绘声绘色
倒霉,晦气
誉,毁
造林,毁林
消灭,毁灭
晨,昏
暗淡,昏暗
天昏地暗,昏天黑地
晕头转向,昏头昏脑
素,荤
清,浑
天衣无缝,浑然一体
胆小如鼠,浑身是胆
趁火打劫,浑水摸鱼
混浊,浑浊
失魂落魄,魂不守舍
魂不附体,魂飞魄散
假冒,混充
颠倒黑白,混淆黑白
颠倒黑白,混淆是非
宽宏大量,豁达大度
恍然大悟,豁然开朗
生路,活路
死水,活水
水,火
暴躁,火暴
怒气冲冲,火冒三丈
推波助澜,火上浇油
迫在眉睫,火烧眉毛
前线,火线
或者,或
大概,或许
或许,或者
东西,货色
名副其实,货真价实
取得,获得
得悉,获悉
福,祸
祸患,祸害
祸害,祸患
嘲讽,讥嘲
打,击
饿,饥
狼吞虎咽,饥不择食
温饱,饥寒
丰衣足食,饥寒交迫
无计可施,机关用尽
机敏,机警
迟钝,机灵
旁门左道,鸡鸣狗盗
沉淀,积淀
集腋成裘,积少成多
根深蒂固,积重难返
根底,基础
缉拿,缉捕
正常,畸形
激起,激发
缓和,激化
落第,及第
极乐世界,及时行乐
凶,吉
恶有恶报,吉人天相
良辰美景,吉日良辰
不祥,吉祥
危如累卵,岌岌可危
便,即
即使,即便
行将,即将
立即,即时
即便,即使
及时行乐,极乐世界
竭力,极力
极端,极其
慢,急
迫不及待,急不可待
短促,急促
和风细雨,急风暴雨
深谋远虑,急功近利
知难而退,急流勇退
赶忙,急忙
十万火急,急如星火
稳扎稳打,急于求成
束手无策,急中生智
相持不下,急转直下
徐,疾
深恶痛绝,疾恶如仇
缓行,疾驶
快速,疾速
和颜悦色,疾言厉色
散,集
会聚,集聚
群策群力,集思广益
个人,集体
妒忌,嫉妒
简直,几乎
人,己
指手划脚,挤眉弄眼
计谋,计策
算计,计较
忘,记
记过,记功
记功,记过
记叙,记述
忘性,记性
浮光掠影,记忆犹新
留念,纪念
妒忌,忌妒
技艺,技能
时节,季节
承继,继承
承上启下,继往开来
原籍,寄籍
旅居,寄居
仰人鼻息,寄人篱下
寄予,寄托
祭奠,祭祀
期望,冀望
减,加
抓紧,加紧
放慢,加快
减速,加速
减轻,加重
夹攻,夹击
好,佳
才子,佳人
野,家
粗茶淡饭,家常便饭
流离失所,家破人亡
一贫如洗,家徒四壁
故土,家乡
野生,家养
众所周知,家喻户晓
无价之宝,价值连城
轻车熟路,驾轻就熟
真,假
大公无私,假公济私
冒充,假冒
假定,假设
倘若,假使
编造,假造
娶,嫁
忠,奸
秃,尖
脆,坚
牢不可破,坚不可摧
持之以恒,坚持不懈
坚决,坚定
坚持不懈,坚定不移
巩固,坚固
残兵败将,坚甲利兵
坚定,坚决
艰苦卓绝,坚苦卓绝
坚定不移,坚韧不拔
安如磐石,坚如磐石
据守,坚守
坚硬,坚挺
深信,坚信
奴颜婢膝,坚贞不屈
消灭,歼灭
特务,间谍
直接,间接
艰辛,艰苦
晦涩,艰涩
通俗,艰深
开释,监禁
贼喊捉贼,监守自盗
闭口不言,缄口不语
口若悬河,缄口结舌
捡,拣
奢,俭
俭省,俭约
加,减
增产,减产
加重,减轻
加速,减速
繁,简
烦琐,简便
冗长,简短
简明,简洁
精练,简练
粗陋,简陋
长篇大论,简明扼要
繁复,简约
几乎,简直
精装,简装
睹,见
孤陋寡闻,见多识广
见机行事,见风使舵
见风使舵,见机行事
利令智昏,见利忘义
漠不关心,见死不救
奏效,见效
袖手旁观,见义勇为
三心二意,见异思迁
修,建
断交,建交
倡议,建议
建筑,建造
修建,建筑
一触即发,剑拔弩张
贵,贱
大步流星,健步如飞
安康,健康
突变,渐变
慢慢,渐渐
急转直下,渐入佳境
失约,践约
审定,鉴定
每况愈下,江河日下
黔驴技穷,江郎才尽
将功补过,将错就错
将功补过,将功折罪
凑合,将就
未来,将来
设身处地,将心比心
半信半疑,将信将疑
棋逢对手,将遇良才
生硬,僵硬
僵硬,僵直
沙场,疆场
版图,疆域
道,讲
罚,奖
别出心裁,匠心独运
落,降
升高,降低
升级,降级
来临,降临
接,交
穿插,交叉
托付,交付
交集,交加
有口皆碑,交口称誉
买卖,交易
交兵,交战
柔嫩,娇嫩
养尊处优,娇生惯养
小巧玲珑,娇小玲珑
鲜艳,娇艳
自高自大,骄傲自满
哀兵必胜,骄兵必败
狡赖,狡辩
掩人耳目,狡兔三窟
装腔作势,矫揉造作
足,脚
兢兢业业,脚踏实地
足迹,脚印
烦扰,搅扰
歼灭,剿灭
纳,缴
交纳,缴纳
喊,叫
喜出望外,叫苦不迭
喜出望外,叫苦连天
叫嚣,叫嚷
学,教
教员,教师
经验,教训
指正,教正
阶级,阶层
座上客,阶下囚
都,皆
大快人心,皆大欢喜
交,接
接纳,接收
接二连三,接踵而至
掀,揭
邻居,街坊
成群结队,孑然一身
季节,节令
俭省,节省
节拍,节奏
虏掠,劫掠
宽裕,拮据
净,洁
明哲保身,洁身自好
解,结
营私舞弊,结党营私
吞吞吐吐,结结巴巴
严严实实,结结实实
完毕,结束
开头,结尾
横冲直撞,桀骜不驯
姗姗来迟,捷足先登
一模一样,截然不同
养精蓄锐,竭尽全力
极力,竭力
妹,姐
系,解
冻结,解冻
辞退,解雇
投笔从戎,解甲归田
一毛不拔,解囊相助
注释,解释
突围,解围
戒严,解严
引见,介绍
骄傲自大,戒骄戒躁
还,借
托故,借故
自创,借鉴
小题大作,借题发挥
古,今
往年,今年
古人,今人
昔日,今日
明天,今天
锱铢必较,斤斤计较
名列前茅,金榜题名
富丽堂皇,金碧辉煌
缓兵之计,金蝉脱壳
雄姿英才,金戈铁马
说一不二,金口玉牙
无动于衷,金石为开
家徒四壁,金玉满堂
华而不实,金玉其外;败絮其中
皇亲国戚,金枝玉叶
津津有味,津津乐道
津津乐道,津津有味
精疲力竭,筋疲力尽
胸怀,襟怀
心怀叵测,襟怀坦白
松,紧
小心翼翼,谨小慎微
严谨,谨严
神机妙算,锦囊妙计
如虎添翼,锦上添花
疮痍满目,锦绣河山
竭力,尽力
不遗余力,尽力而为
家喻户晓,尽人皆知
尽善尽美,尽如人意
不遗余力,尽心竭力
远,近
远程,近程
远洋,近海
远亲,近亲
远视,近视
远因,近因
近在咫尺,近在眉睫
迫在眉睫,近在咫尺
耳濡目染,近朱者赤;近墨者黑
开拔,进抵
防御,进攻
退化,进化
出口,进口
出去,进来
退路,进路
出来,进去
进退维谷,进退两难
进退两难,进退维谷
进退两难,进退自如
停顿,进展
升级,晋级
降职,晋职
浸湿,浸润
渗透,浸透
忌讳,禁忌
经受,禁受
沉默寡言,噤若寒蝉
经年累月,经久不息
禁受,经受
运营,经营
轰动,惊动
惊惶失措,惊慌失措
平心静气,惊魂未定
不动声色,惊恐万状
风平浪静,惊涛骇浪
风平浪静,惊天动地
欣喜,惊喜
触目惊心,惊心动魄
诧异,惊讶
冷艳,惊艳
明亮,晶莹
脚踏实地,兢兢业业
粗,精
同心协力,精诚团结
一丝不苟,精打细算
精摹细琢,精雕细刻
筋疲力尽,精疲力竭
肉体,精神
容光焕发,精神抖擞
容光焕发,精神焕发
通晓,精通
坚韧不拔,精卫填海
精密,精细
锦上添花,精益求精
平装,精装
蚕食,鲸吞
坐井观天,井底之蛙
有条不紊,井井有条
有条有理,井然有序
相得益彰,井水不犯河水
风光,景色
现象,景象
正告,警告
警觉,警惕
洁,净
污染,净化
毛重,净重
独自,径自
合作,竞争
居然,竟然
亲爱,敬爱
还礼,敬礼
动,静
肃立,静立
喧闹,静谧
闹哄哄,静悄悄
动态,静态
一模一样,迥然不同
悬殊,迥异
困境,窘境
困顿,窘迫
牵扯不清,纠缠不清
纠葛,纠纷
绝处逢生,九死一生
无影无踪,九霄云外
暂,久
一朝一夕,久而久之
长远,久远
行尸走肉,酒囊饭袋
狐朋狗友,酒肉朋友
陈,旧
因循守旧,旧调重弹
新式,旧式
原址,旧址
拯救,救命
治病救人,救死扶伤
便,就
因地制宜,就地取材
就职,就任
避实就虚,就事论事
失业,就业
就任,就职
高枕无忧,居安思危
高高在上,居高临下
竟然,居然
别有用心,居心叵测
寓居,居住
部分,局部
忐忑不安,局促不安
场面,局面
形势,局势
品味,咀嚼
懊丧,沮丧
告发,举报
不胜枚举,举不胜举
寸步难行,举步维艰
纵情欢乐,举国若狂
犹豫不定,举棋不定
誉满天下,举世闻名
独一无二,举世无双
触类旁通,举一反三
无足轻重,举足轻重
成群结队,踽踽独行
剧变,巨变
具有,具备
力排众议,据理力争
听说,据说
间隔,距离
散,聚
汇集,聚集
专心致志,聚精会神
靠拢,聚拢
积少成多,聚沙成塔
舍身,捐躯
捐赠,捐献
舒,卷
东山再起,卷土重来
毅然,决然
决计,决心
决一死战,决一雌雄
窍门,诀窍
